,Unnamed: 0,Username,Tweet,Polarity,Tweet_Tune,clean_tweet
17,17,mkhodges,"I've been hearing this ""breakdown of society"" crap for 50 years. I even once believed it
 
It's the guns, stupid",-0.8,-1,I ve been hearing this  breakdown of society  crap for    years  I even once believed it   It s the guns  stupid
18,18,BadChad53,"You have got the kidding me,right? Not even opening up the discussion is just as bad as pulling the trigger…",-0.6999999999999998,-1,You have got the kidding me right  Not even opening up the discussion is just as bad as pulling the trigger 
19,19,KevinHowey22,"Private gun owners:
Wouldn’t you be willing to give up your AR-15s if it would bring those 19 children back?",0.0833333333333333,1,Private gun owners  Wouldn t you be willing to give up your AR   s if it would bring those    children back 
20,20,Apoptos44475462,"THEY HAVE TO MAKE SURE THEIR #REPUBLIGUN MILITIAS CAN ARM/AMMO UP FOR THE SOON TO BE CIVIL WAR....THE TRUCKER CONVOYS ARE GAINING NEW CIVIL WAR PARTICIPANTS 
(THAT IS THE SOLE PURPOSE OF THE CONVOYS)

PLUS THEY ALL STRIVE FOR THE A+ ''GRADE'' THE NRA WILL GIVE THEM

#GUNBITCHBOIS",0.2121212121212121,1,THEY HAVE TO MAKE SURE THEIR #REPUBLIGUN MILITIAS CAN ARM AMMO UP FOR THE SOON TO BE CIVIL WAR    THE TRUCKER CONVOYS ARE GAINING NEW CIVIL WAR PAICIPANTS   THAT IS THE SOLE PURPOSE OF THE CONVOYS   PLUS THEY ALL STRIVE FOR THE A    GRADE   THE NRA WILL GIVE THEM  #GUNBITCHBOIS
21,21,BrianPuharich,Uvalde Shooter Fired Gun For 12 Minutes Outside School Before Entering https://t.co/lWoc0wAkmw,0.0,0,Uvalde Shooter Fired Gun For    Minutes Outside School Before Entering    t co lWoc wAkmw
22,22,EMorgan52,"@Newsweek Good for them... Now protest that you want your school taken off the ""gun free zone"" list and that you need an armed safety officer at the school",0.55,1, Good for them    Now protest that you want your school taken off the  gun free zone  list and that you need an armed safety officer at the school
23,23,emersonlejong,"Wait, so gun control laws aren’t going to help prevent shootings but laws against abortion are supposed to stop abortions?",0.0,0,Wait  so gun control laws aren t going to help prevent shootings but laws against abortion are supposed to stop abortions 
24,24,MudderFudder77,For several years I’ve filed legislation to require photo ID to verify the age of purchasers of guns and ammunition after @fox4kc showed how easy it is for a teenager to purchase both illegally in the middle of the school day. Four years no hearing. #moleg https://t.co/qunRhepORH,-0.0166666666666666,-1,For several years I ve filed legislation to require photo ID to verify the age of purchasers of guns and ammunition after  showed how easy it is for a teenager to purchase both illegally in the middle of the school day  Four years no hearing  #moleg    t co qunRhepORH
25,25,KataKateri,"@farrisj That poor family. 😢 And, Cruz would not even discuss rational gun control policy the other night.. called it Democratic Party talking points. How callous do you have to be to watch this happen over &amp; over and do nothing???",-0.2625,-1, That poor family    And  Cruz would not even discuss rational gun control policy the other night   called it Democratic Party talking points  How callous do you have to be to watch this happen over  amp  over and do nothing   
26,26,notleviscott,"congratulations America, I didn’t think you could outdo yourself but “cops threatening to stun gun Latino parents as their little kids were murdered” is a new zenith in Bipartisan National Death Drive",-0.0255681818181818,-1,congratulations America  I didn t think you could outdo yourself but  cops threatening to stun gun Latino parents as their little kids were murdered  is a new zenith in Bipartisan National Death Drive
27,27,victorehusky,Child Gun Deaths In Texas Doubled Under Greg Abbott. Then Came Uvalde. https://t.co/Zd4w23Szlv via @Yahoo,0.0,0,Child Gun Deaths In Texas Doubled Under Greg Abbott  Then Came Uvalde     t co Zd w  Szlv via 
28,28,davidlewis77,"Wait, so gun control laws aren’t going to help prevent shootings but laws against abortion are supposed to stop abortions?",0.0,0,Wait  so gun control laws aren t going to help prevent shootings but laws against abortion are supposed to stop abortions 
29,29,rose4worldpeace,BREAKING: Senate Republicans blocked a domestic terrorism bill that would have opened debate on gun measures after the deadly Texas school shooting. https://t.co/hMdW0iNItZ,-0.1,-1,BREAKING  Senate Republicans blocked a domestic terrorism bill that would have opened debate on gun measures after the deadly Texas school shooting     t co hMdW iNItZ
30,30,MsCocoLov,Once again the Senate GOP are standing in the way. From common sense gun reform to Women’s rights to voting rights they have blocked &amp; obstructed positive change. We MUST pick up seats in the Senate!  Support our candidates &amp; state parties in races to add to the majority!,0.0275568181818181,1,Once again the Senate GOP are standing in the way  From common sense gun reform to Women s rights to voting rights they have blocked  amp  obstructed positive change  We MUST pick up seats in the Senate   Support our candidates  amp  state parties in races to add to the majority 
31,31,theseconddb,"Kids here are holding signs that say things like:  “I want 2 B a scientist, not a gun statistic.” https://t.co/GFeM2hkH3n",0.0,0,Kids here are holding signs that say things like    I want   B a scientist  not a gun statistic      t co GFeM hkH n
32,32,Patrici64988464,"@Numbers28 Too disgusted.
I find it difficult to post without profanity right now.
I hadn't processed the blind rage of Buffalo, now this murdering of children.
They had to use DNA to Identify the victims. Rot in hell all gun owners who oppose strict gun control.
These deaths are on you. https://t.co/xe1fAYFVZJ",-0.4285714285714286,-1, Too disgusted  I find it difficult to post without profanity right now  I hadn t processed the blind rage of Buffalo  now this murdering of children  They had to use DNA to Identify the victims  Rot in hell all gun owners who oppose strict gun control  These deaths are on you     t co xe fAYFVZJ
33,33,thattizzank,"It used to be kids were twice as likely to die in auto accidents than by gunshot. But in 2020 for the first time, firearms became the leading cause of death among American kids, surpassing motor vehicles. ⁦@caitlinnowens⁩  https://t.co/Q502Pike3Z",0.0833333333333333,1,It used to be kids were twice as likely to die in auto accidents than by gunshot  But in      for the first time  firearms became the leading cause of death among American kids  surpassing motor vehicles         t co Q   Pike Z
34,34,VictoriaZapatos,This shooting could have been prevented with an armed security guard. It could have been prevented if the cops had done their jobs. It could have been printed if they LOCKED THE DOOR. It could have been prevented in a dozen simple ways. Gun laws have nothing to do with it.,0.0,0,This shooting could have been prevented with an armed security guard  It could have been prevented if the cops had done their jobs  It could have been printed if they LOCKED THE DOOR  It could have been prevented in a dozen simple ways  Gun laws have nothing to do with it 
35,35,KellyUlrich16,"If the gun protectors in Congress are voted out, things may change. If they retain their seats, nothing will change.
Pretty simple.",0.125,1,If the gun protectors in Congress are voted out  things may change  If they retain their seats  nothing will change  Pretty simple 
36,36,cobraham,"We have to agree to never publicize the names of school shooters and other publicity-seeking mass murderers. This is not a gun or even a ""mental health"" issue. It's an issue of malevolent narcissists weaponizing mass media. Stop publishing their names and the problem will end.",-0.3416666666666666,-1,We have to agree to never publicize the names of school shooters and other publicity seeking mass murderers  This is not a gun or even a  mental health  issue  It s an issue of malevolent narcissists weaponizing mass media  Stop publishing their names and the problem will end 
37,37,matt4etc,Professor @JonathanTurley is a widely respected Constitutional law scholar. You're a failed talk show host.,-0.3,-1,Professor  is a widely respected Constitutional law scholar  You re a failed talk show host 
38,38,JenJamesBeauty,Like he sent Tim Scott to work on voting rights and police reform?,0.0,0,Like he sent Tim Scott to work on voting rights and police reform 
39,39,roboThomas,"Bullshit.
Countries like Australia that have imposed strict gun control cut the instance of gun murders by 70%.",0.0,0,Bullshit  Countries like Australia that have imposed strict gun control cut the instance of gun murders by     
40,40,kilojoule_kj,@Newsweek Children being killed by a crazy person using firearms does not warrant gun control no more than animators being killed by a crazy arsonist using gasoline does not warrant gasoline control. 🤷‍♀️,-0.37,-1, Children being killed by a crazy person using firearms does not warrant gun control no more than animators being killed by a crazy arsonist using gasoline does not warrant gasoline control      
41,41,NagaConnie,Tried to visit the gun store that sold weapons to the Uvalde gunman. Was stopped in parking lot by management. It’s open but I’m not allowed in. Asked why… “You have a notepad… and an accent.”,0.0,0,Tried to visit the gun store that sold weapons to the Uvalde gunman  Was stopped in parking lot by management  It s open but I m not allowed in  Asked why   You have a notepad  and an accent  
42,42,mitchw7959,"Dear CEOS of gun manufacturers, please stop making and selling AR-15s. Just do the right thing.",0.2857142857142857,1,Dear CEOS of gun manufacturers  please stop making and selling AR   s  Just do the right thing 
43,43,stariawars,"Japan's process for buying a gun requires an interview with the police about why you need a gun, a psych evaluation, 3 different permits and a background check that includes interviews of family and neighbors.",0.0,0,Japan s process for buying a gun requires an interview with the police about why you need a gun  a psych evaluation    different permits and a background check that includes interviews of family and neighbors 
44,44,candmackerel,"everyone from the building is safe and in the clear!! fb says the have the guy in custody! 
that was fucking scary! thank you for everyone checking in!",-0.0286458333333333,-1,everyone from the building is safe and in the clear   fb says the have the guy in custody   that was fucking scary  thank you for everyone checking in 
45,45,CurseWokeIsland,"I had to walk through a metal detector at where I went to both middle and high schools. There were police at the once entrance and rest of the doors were locked, sometimes chained.

It works.

What doesn't work, is gun control. It was a blue antigun state. Yet everyone had a gun.",0.0533333333333333,1,I had to walk through a metal detector at where I went to both middle and high schools  There were police at the once entrance and rest of the doors were locked  sometimes chained   It works   What doesn t work  is gun control  It was a blue antigun state  Yet everyone had a gun 
46,46,travelingjack22,"Senate millionaires leave DC without one republican asked if they bear personal responsibility for the gun deaths 

Come judgement day, a lot of prolife republicans are going to be shocked",-0.35,-1,Senate millionaires leave DC without one republican asked if they bear personal responsibility for the gun deaths   Come judgement day  a lot of prolife republicans are going to be shocked
47,47,somuchtodo2,"#AbbottCruzMassacre 

We are tired of thoughts and prayers without action.

And we will NOT allow for this kind of tragedy to continue

— Olivia Julianna (@0liviajulianna) May 25, 2022

https://t.co/DQe8OzuqBZ",0.0999999999999999,1,#AbbottCruzMassacre   We are tired of thoughts and prayers without action   And we will NOT allow for this kind of tragedy to continue    Olivia Julianna    May              t co DQe OzuqBZ
48,48,kellykellskells,"It’s just sick that gun manufacturers have spent two decades aggressively marketing assault weapons which make them some of the biggest profits. 

For God’s sake, let’s have the courage to stand up to the industry.",-0.4071428571428571,-1,It s just sick that gun manufacturers have spent two decades aggressively marketing assault weapons which make them some of the biggest profits    For God s sake  let s have the courage to stand up to the industry 
49,49,Raigynnn,"if i wanted to go out and buy a gun rn, i could. like very easily. …. y’all don’t want a nigga like me in the streets wit a gun. im a damn idiot",-0.1183333333333333,-1,if i wanted to go out and buy a gun rn  i could  like very easily     y all don t want a nigga like me in the streets wit a gun  im a damn idiot
50,50,Di_zapata,Again,0.0,0,Again
51,51,FlimsRadar,"@NoLieWithBTC But surely all those “trained and responsible” gun owners carrying their guns would make it the safest place in the entire country?

Isn’t that the NRA’s thinking for how to make schools safe?",0.3,1, But surely all those  trained and responsible  gun owners carrying their guns would make it the safest place in the entire country   Isn t that the NRA s thinking for how to make schools safe 
52,52,sortaskeptical,"@Gdad1 @LoveMyKiaraM @bab_102 @Gdad1x6 @Blake_RESISTS @SusanClendaniel @chari_fish @PappyParki @keyboardwren @LarryWoolfolk2 @BeaReno @myteddyisblue @BilliWebb18 @GCDCBflo @Paul_Is_Muadib @LaxerJoe @FullyWoke1 @RenfroRoss @SteveWasHereb4 @cjr_Rainey @Gdad1 Thank you &amp; coming from YOU, what a compliment♥️♥️♥️

Let’s remember these sweet, innocent children💔💔💔
Let’s demand gun control from our elected officials!

#VoteBlueToSaveOurKids 
#EndGunViolence 
#ProtectOurChildren https://t.co/AkCy3r0HAK",0.4875,1,   x                   Thank you  amp  coming from YOU  what a compliment        Let s remember these sweet  innocent children    Let s demand gun control from our elected officials   #VoteBlueToSaveOurKids  #EndGunViolence  #ProtectOurChildren    t co AkCy r HAK
53,53,drloreejohnson,Great thread about the “link” mental health and gun violence.,0.35,1,Great thread about the  link  mental health and gun violence 
54,54,BAF8141,"@AlickRoberts @hodgetwins @RpsAgainstTrump We would NEVER ""give up our guns"". There will also be no infringement of rights. 

The mental health crisis in this country is a bigger issue that a damn gun. There are many sick people living here. Guns do not fire themselves. Crazy, sick, deranged, disturbed individuals do.",-0.2714285714285714,-1,   We would NEVER  give up our guns   There will also be no infringement of rights    The mental health crisis in this country is a bigger issue that a damn gun  There are many sick people living here  Guns do not fire themselves  Crazy  sick  deranged  disturbed individuals do 
55,55,Annananas78,"Today I am doing three small things, and I invite you to join me if you can. 1) I'm reading this poem, yet again, and thinking about the author's question: what is the opposite of a gun? https://t.co/txCoUmpKtX",-0.125,-1,Today I am doing three small things  and I invite you to join me if you can     I m reading this poem  yet again  and thinking about the author s question  what is the opposite of a gun     t co txCoUmpKtX
56,56,Annmak19447006,"""The U.S. stands out as the only high-income country with a dramatically high firearm homicide rate. The number of deaths through physical violence by firearms is 10 times higher in the U.S. than in the U.K.""
https://t.co/FPtn5h24wi",0.1025,1, The U S  stands out as the only high income country with a dramatically high firearm homicide rate  The number of deaths through physical violence by firearms is    times higher in the U S  than in the U K      t co FPtn h  wi
57,57,hugeshark,"@OhPipeDown There are some interesting aspects to Australia. Their gun laws have been pretty successful in reducing mass murder incidents. The social safety net is much bigger than here, less wealth gap, less poverty...

https://t.co/zFgL9Ka495
https://t.co/tUdDsagE9H",0.15,1, There are some interesting aspects to Australia  Their gun laws have been pretty successful in reducing mass murder incidents  The social safety net is much bigger than here  less wealth gap  less poverty        t co zFgL Ka       t co tUdDsagE H
58,58,Ilene3youtz,"@Ironyrulesall @atrupar Yes. So is greed, hate, blind followers, people with compromised pasts, and gun nuts.",-0.65,-1,  Yes  So is greed  hate  blind followers  people with compromised pasts  and gun nuts 
59,59,David76583783,"American politicians refuse to regulate gun ownership

American politicians normalize hateful ideologies through legislation 

American media companies like Netflix platform racists and transphobes

American news media treats xenophobia, racism, and transphobia like “opinions”",0.0,0,American politicians refuse to regulate gun ownership  American politicians normalize hateful ideologies through legislation   American media companies like Netflix platform racists and transphobes  American news media treats xenophobia  racism  and transphobia like  opinions 
60,60,TheMiddleborne,Why is this relevant?,0.4,1,Why is this relevant 
61,61,Hmiller1011,The senate just adjourned for Memorial Day recess. They’ll be back to continue doing nothing to stop gun violence on June 6th.,0.0,0,The senate just adjourned for Memorial Day recess  They ll be back to continue doing nothing to stop gun violence on June  th 
62,62,nylerobin,"The Falkland Islands have almost as many guns per capita as America.

Why don’t they have any mass shootings?

It is not a gun problem.",0.5,1,The Falkland Islands have almost as many guns per capita as America   Why don t they have any mass shootings   It is not a gun problem 
63,63,Samseay34,"So try he leftist say more gun laws are needed, which I’m sure criminals Will obey  you know because they’re Criminals",0.3166666666666666,1,So try he leftist say more gun laws are needed  which I m sure criminals Will obey  you know because they re Criminals
64,64,adreeennaaa,"@zerohedge ""good guy with a gun"" nowhere to be found in a state like Texas where they apparently exists everywhere",0.375,1,  good guy with a gun  nowhere to be found in a state like Texas where they apparently exists everywhere
65,65,pattydenke,"Today, for the 2nd straight day, at the same time students at Oxford High School were staging a walkout in solidarity with #Uvalde and to protest the inexcusable inaction on gun violence, the Michigan Senate GOP adjourned before “Statements” to silence us.

They are cowards. 🧵",0.09,1,Today  for the  nd straight day  at the same time students at Oxford High School were staging a walkout in solidarity with #Uvalde and to protest the inexcusable inaction on gun violence  the Michigan Senate GOP adjourned before  Statements  to silence us   They are cowards   
66,66,coolhat69,thinking about the gun control episode of bojack rn https://t.co/R9TltuDNBZ,0.0,0,thinking about the gun control episode of bojack rn    t co R TltuDNBZ
67,67,am_escobar,To sum up: The GOP supports laws that force women to have children but refuses to support laws to save those children's lives from gun violence.,0.0,0,To sum up  The GOP supports laws that force women to have children but refuses to support laws to save those children s lives from gun violence 
68,68,erikmray,Stop weaponizing mental illness to excuse inaction regarding common sense gun legislation.,-0.15,-1,Stop weaponizing mental illness to excuse inaction regarding common sense gun legislation 
69,69,885wfdd,Local activist calls for more resources for communities of color when it comes to gun violence https://t.co/QwXzek1lOM https://t.co/HqUDgHz0el,0.25,1,Local activist calls for more resources for communities of color when it comes to gun violence    t co QwXzek lOM    t co HqUDgHz el
70,70,Hawkshot86,"@painandinsomnia @TheAKGuy I would also love that. He's quick to make political jabs when it suits him, but as soon as he's on the defensive he shuts down the conversation.
Pretty immature, almost forgot he is, at the end of the day, a gun manufacturer. He's the problem &amp; has zero interest in a solution.",0.1855555555555555,1,  I would also love that  He s quick to make political jabs when it suits him  but as soon as he s on the defensive he shuts down the conversation  Pretty immature  almost forgot he is  at the end of the day  a gun manufacturer  He s the problem  amp  has zero interest in a solution 
71,71,drogon_dracarys,Multiple countries have dramatically changed their gun laws after a horrific string of tragic gun violence,-0.5833333333333334,-1,Multiple countries have dramatically changed their gun laws after a horrific string of tragic gun violence
72,72,FuckMuskratte,"@PDG887 @mattyglesias @rickperlstein I agree that they are wrong, but proving it is not that easy, you need e.g. a randomized controlled study. 
I’d also guess that republicans think that need to get rid of non-whites, not guns, to solve the gun violence problem.",-0.0333333333333333,-1,   I agree that they are wrong  but proving it is not that easy  you need e g  a randomized controlled study   I d also guess that republicans think that need to get rid of non whites  not guns  to solve the gun violence problem 
73,73,SharonW1104,BREAKING: Senate Republicans blocked a domestic terrorism bill that would have opened debate on gun measures after the deadly Texas school shooting. https://t.co/hMdW0iNItZ,-0.1,-1,BREAKING  Senate Republicans blocked a domestic terrorism bill that would have opened debate on gun measures after the deadly Texas school shooting     t co hMdW iNItZ
74,74,aalleyne,"""If only there were some way the NRA, with its millions of dollars in membership donations and ties to the vast majority of congressional Republicans, could influence America’s gun debate in a way that would make our children safer."" https://t.co/sqXbZbCQG9 via @msnbc",0.0,0, If only there were some way the NRA  with its millions of dollars in membership donations and ties to the vast majority of congressional Republicans  could influence America s gun debate in a way that would make our children safer      t co sqXbZbCQG  via 
75,75,ls2000,Ted Cruz angrily quits interview after being confronted about gun control https://t.co/qr53aloRle,-0.5,-1,Ted Cruz angrily quits interview after being confronted about gun control    t co qr  aloRle
76,76,NanaLindaK,"OMG, YES!",0.0,0,OMG  YES 
77,77,ceez_the_great,Why do I think gun control could work? Because fuckin grenade control works.,0.0,0,Why do I think gun control could work  Because fuckin grenade control works 
78,78,mkolken,Biden cares so much about gun control that he left $80 billion in actual military grade weapons for the Taliban in Afghanistan.,0.025,1,Biden cares so much about gun control that he left     billion in actual military grade weapons for the Taliban in Afghanistan 
79,79,zzzendica,this shit is cute i'm proud of the label,0.3666666666666667,1,this shit is cute i m proud of the label
80,80,GrowlinAtTheSun,"MY GOD, that video of the parents BEGGING police, you can still hear the fuqqing gun shots.

MY GOD I AM PISSED THE FUQQ OFF.",0.0,0,MY GOD  that video of the parents BEGGING police  you can still hear the fuqqing gun shots   MY GOD I AM PISSED THE FUQQ OFF 
81,81,DolphinDemVoter,"oh... it appears that the gun manufacturer who made the AR-15 style assault rifle also offered its thoughts and prayers, pulled out of the NRA convention (where guns are not allowed), and went quiet on social media. 

https://t.co/sJhea8kO1t",0.0166666666666666,1,oh    it appears that the gun manufacturer who made the AR    style assault rifle also offered its thoughts and prayers  pulled out of the NRA convention  where guns are not allowed   and went quiet on social media       t co sJhea kO t
82,82,trailcrumbs,BREAKING: Senate Republicans blocked a domestic terrorism bill that would have opened debate on gun measures after the deadly Texas school shooting. https://t.co/hMdW0iNItZ,-0.1,-1,BREAKING  Senate Republicans blocked a domestic terrorism bill that would have opened debate on gun measures after the deadly Texas school shooting     t co hMdW iNItZ
83,83,Mat_Brazers,"40% of Uvalde’s city budget goes to police. The school district had its own police force. This is what happened ⬇️

After decades of mass shootings, there is still 0 evidence that police have the ability to stop them from happening. Gun safety and other policies can.",0.2375,1,    of Uvalde s city budget goes to police  The school district had its own police force  This is what happened     After decades of mass shootings  there is still   evidence that police have the ability to stop them from happening  Gun safety and other policies can 
84,84,susantweetsNY,"@SenSchumer Bring up dozens of STAND-ALONE BILLS on the floor to get every single Senator on the record and pass at least some of them. Act now.

- Universal background checks.
- Must be at least 21 to buy a gun.
- Ban extended clips/high-capacity magazines
- Ban bump stocks
etc. etc. https://t.co/s0ZzLHUUdV",-0.1678571428571428,-1, Bring up dozens of STAND ALONE BILLS on the floor to get every single Senator on the record and pass at least some of them  Act now     Universal background checks    Must be at least    to buy a gun    Ban extended clips high capacity magazines   Ban bump stocks etc  etc     t co s ZzLHUUdV
85,85,jiminfloss,"If the gun protectors in Congress are voted out, things may change. If they retain their seats, nothing will change.
Pretty simple.",0.125,1,If the gun protectors in Congress are voted out  things may change  If they retain their seats  nothing will change  Pretty simple 
86,86,cloudydays1971,Tried to visit the gun store that sold weapons to the Uvalde gunman. Was stopped in parking lot by management. It’s open but I’m not allowed in. Asked why… “You have a notepad… and an accent.”,0.0,0,Tried to visit the gun store that sold weapons to the Uvalde gunman  Was stopped in parking lot by management  It s open but I m not allowed in  Asked why   You have a notepad  and an accent  
87,87,Grumpa1945,"The murder rate in Baltimore is 58.27 per 100,000.

Its the 11th most violent city in the world...and has VERY strict gun laws. https://t.co/nqOHI8sRnM",-0.0333333333333333,-1,The murder rate in Baltimore is       per           Its the   th most violent city in the world   and has VERY strict gun laws     t co nqOHI sRnM
88,88,_MyFriendCourt,"An unarmed parent would do anything for their child, including die…police…not their job, gotta follow protocol. Don’t you care about cops?! Like…I’m really convinced you’re mentally I’ll and definitely don’t need guns if you’re trying to logically justify ANY of this still.",0.0875,1,An unarmed parent would do anything for their child  including die police not their job  gotta follow protocol  Don t you care about cops   Like I m really convinced you re mentally I ll and definitely don t need guns if you re trying to logically justify ANY of this still 
89,89,starrifle,"@Public_Citizen @joebarton1238 Ted Cruz was the biggest recipient of money from gun rights backers with $311,151.",0.0,0,  Ted Cruz was the biggest recipient of money from gun rights backers with          
90,90,lilyannibobani,"We know common sense gun laws can’t and won’t prevent every tragedy. But we know they work and have a positive impact.

When we passed the assault weapons ban — mass shootings went down.

When the law expired — mass shootings tripled.",-0.0760942760942761,-1,We know common sense gun laws can t and won t prevent every tragedy  But we know they work and have a positive impact   When we passed the assault weapons ban   mass shootings went down   When the law expired   mass shootings tripled 
91,91,ColonCancer8,"@FireStormFox1 @Ryu1303 @StephenKing Diversity is not exclusive to America. There are so many other developed diverse nations in the world that do not have this issue of mass shootings. Literally the ONE thing that can change that is a gun ban, like every other sensible country has. It is that simple.",0.0699999999999999,1,   Diversity is not exclusive to America  There are so many other developed diverse nations in the world that do not have this issue of mass shootings  Literally the ONE thing that can change that is a gun ban  like every other sensible country has  It is that simple 
92,92,bc_nbc,After all the violence and death I think its time we do the only logical thing and implement gun policy based on the opinions of people who have never used or researched guns,0.125,1,After all the violence and death I think its time we do the only logical thing and implement gun policy based on the opinions of people who have never used or researched guns
93,93,BenBrisebois,I have way more of a problem with people carrying in public in urban centres than I do with private gun ownership generally,0.11,1,I have way more of a problem with people carrying in public in urban centres than I do with private gun ownership generally
94,94,JASH725,"@NobleParkRiot Not surprising. Ever since the republicans found it acceptable for children to die, any talk of gun legislation went out the window. They do not care. Nothing will come of this like nothing has come of any past mass shootings.",-0.3,-1, Not surprising  Ever since the republicans found it acceptable for children to die  any talk of gun legislation went out the window  They do not care  Nothing will come of this like nothing has come of any past mass shootings 
95,95,AnthropoceneM,"Breaking:

WASHINGTON (AP) -- Senate GOP blocks domestic terrorism bill that would have opened debate on gun measures after Texas school shooting.",0.0,0,Breaking   WASHINGTON  AP     Senate GOP blocks domestic terrorism bill that would have opened debate on gun measures after Texas school shooting 
96,96,PaulSibert,"@trvjiyo @WatchChad And again
https://t.co/e4YaatP6p5",0.0,0,  And again    t co e YaatP p 
97,97,DeadB0y,It’s crazy that Comedians are doing better jobs than some journalists.,-0.0499999999999999,-1,It s crazy that Comedians are doing better jobs than some journalists 
