,Time,Tweet,Polarity,Tweet_Tune
15,2022-05-16 21:24:34+00:00,"This weekend’s shootings in Buffalo offer a tragic reminder of the price we pay for refusing to curb the easy access to guns. It should also serve as a wakeup call for all Americans of goodwill, regardless of party.",-0.15833333333333333,-1
16,2022-05-16 13:16:16+00:00,"I’m proud to announce the Voyager Scholarship with my friend @bchesky. We hope to provide young people with an interest in public service with some financial support to graduate college, exposure to travel, and the networks they need to make a difference. https://t.co/rbtrjAlgPe https://t.co/RZ7QKNMMWw",0.225,1
17,2022-05-14 15:03:07+00:00,"If you can't join a march in person today, you can still get involved. Donate to a local abortion fund. Volunteer with activists who’ve been organizing on this issue for years. And vote on or before November 8 and in every election. Take action: https://t.co/TmIMZ9GKf1",0.05,1
18,2022-05-14 15:03:07+00:00,"Across the country, Americans are standing up for abortion rights—and I’m proud of everyone making their voices heard. Join a march near you: https://t.co/b9QFN34kHI",0.45,1
19,2022-05-08 19:01:28+00:00,"I’m a Hawai’i kid, so I’ve got to congratulate the Rainbow Warriors for their back-to-back national volleyball championships! @HawaiiMensVB, you've made all of Hawai'i proud. https://t.co/UWjoDTVEVH",0.8,1
20,2022-05-08 15:32:41+00:00,"Happy Mother's Day! I hope you all let the moms and mother-figures in your life know how much they mean to you.

@MichelleObama, thank you for being a wonderful mother and role model to our daughters and to so many others around the world. https://t.co/xirbzZC1P0",0.47750000000000004,1
21,2022-05-06 17:01:37+00:00,"Happy birthday to one of the greats, Willie Mays! I’ll always remember this conversation we had while on Air Force One during the first year of my presidency. I’ve always looked up to the Say Hey Kid, and I hope he’s having a great 91st birthday. https://t.co/PcVZg8Gp9i",0.6833333333333332,1
22,2022-05-06 15:31:42+00:00,"I couldn't be more grateful for all the love and support I’ve received from my mother-in-law, Marian Robinson, especially during those years in the White House when she was right by our side. We look forward to honoring her with this exhibit. https://t.co/MrHs8xslMy",0.2571428571428571,1
23,2022-05-03 19:17:30+00:00,Here’s my statement with Michelle on the draft Supreme Court decision to overturn Roe v. Wade. https://t.co/xBJJkLYGlQ,0.0,0
24,2022-05-02 21:35:39+00:00,"Michelle and I extend our warmest wishes to Muslims across our country and around the world as they celebrate Eid al-Fitr. From our family to yours, Eid Mubarak.",0.0,0
25,2022-05-02 21:17:55+00:00,"RT @ObamaFoundation: Last year, to mark 10 years since the operation against Osama bin Laden, President Obama joined Admiral Bill McRaven t…",0.0,0
26,2022-04-29 18:02:23+00:00,"Our Great National Parks on Netflix showcases the power and beauty of the world’s most breathtaking national parks and wildlife.

I hope watching inspires you to experience the outdoors and take action to protect it. Join our Wild For All campaign at https://t.co/PTlffHC7gv. https://t.co/F7hHz6BHKC",0.5,1
27,2022-04-29 16:02:42+00:00,"We can learn a lot from what Europe is doing to improve social media. Their approach may not be exactly right for the U.S., but it points toward a path forward. https://t.co/BQBBw9z8wu",0.1595238095238095,1
28,2022-04-28 20:31:33+00:00,"When I hear about the courage of young leaders in our @ObamaFoundation network, I can't help but feel hopeful. Read Yuliia Sachuk’s powerful story, and learn how she’s helping Ukrainians with disabilities get to safety. https://t.co/hIXHWizpic",0.2,1
29,2022-04-28 15:00:47+00:00,"Last week, I spoke with some of the young activists who have already recognized the problem that disinformation poses to our communities and are doing their part to fix it. Take a look at our conversation: https://t.co/37LIVnyAdg",0.05,1
30,2022-04-22 21:26:51+00:00,"I was at @Stanford with the @ObamaFoundation to talk about the rise of disinformation around the world and the threat it poses to democracy. We all have a role to play here, so let’s get to work. https://t.co/IO6oi5CdQs",0.0,0
31,2022-04-22 21:00:21+00:00,"Yesterday, I talked about how we should be able to agree on some basic facts – including around issues like climate change – and how companies need to be more careful about the content they promote, especially in ads. This is a good example of progress. 
https://t.co/gNCvJlLnWK",0.26666666666666666,1
32,2022-04-22 18:22:32+00:00,"When it comes to climate change, time really is running out. Earth Day is a reminder that if we pledge to do our part and then follow through on those commitments, we can help preserve and protect our planet for future generations.",0.1,1
33,2022-04-22 02:46:03+00:00,"It’s up to each of us to decide what we value, and to use the tools we’ve been given to advance those values. I believe we should use every tool at our disposal to secure our greatest gift – a government of, by, and for the people – for generations to come.",0.7,1
34,2022-04-22 02:46:03+00:00,Solving the disinformation problem won’t cure all that ails our democracies or tears at the fabric of our world. But it can help rebuild the trust and solidarity needed to make democracy stronger.,0.0,0
35,2022-04-22 02:46:02+00:00,"Each of us has to pick a side. Do we allow our democracy to wither? Or do we choose to make it better? That’s the choice we face, and it is a choice worth embracing.",0.4,1
36,2022-04-22 02:46:01+00:00,"As part of this, tech platforms need to recognize that they play a unique role in how people consume information, and their decisions have an impact on every aspect of society. 

With that power comes accountability – and the need for some democratic oversight.",0.375,1
37,2022-04-22 02:46:00+00:00,"The way I’m going to evaluate any proposal touching on social media and the internet is whether it strengthens or weakens the prospects for healthy, inclusive democracy. https://t.co/jmPMO28KMU",0.3444444444444444,1
38,2022-04-21 19:22:58+00:00,"Disinformation is a threat to our democracy, and will continue to be unless we work together to address it. Tune in as I share some thoughts on what we can all do now. https://t.co/6R6n3MOPPR",0.0,0
39,2022-04-21 18:59:06+00:00,RT @ObamaFoundation: LIVE TODAY: President @BarackObama will deliver a keynote address about disinformation and challenges to democracy in…,0.13636363636363635,1
40,2022-04-20 16:02:17+00:00,"I wanted to share some of what I've read that offers useful context, solutions we can learn from, and interesting perspectives. Check it out, and then tune in to the speech on Thursday at 12:15pm PT. https://t.co/gjOgVuqIwF",0.3,1
41,2022-04-20 16:02:17+00:00,"I've been reading up on this issue, sitting down with academics, researchers, industry leaders and former regulators, and listening to young leaders who are working to make progress.",-0.018518518518518528,-1
42,2022-04-20 16:02:16+00:00,"Tomorrow, I'm heading to Stanford to deliver a speech about changes in the way we create and consume information, and the very real threat it poses to democracy.",0.26,1
43,2022-04-19 20:48:57+00:00,"Through the @ObamaFoundation, we’re working to empower and equip emerging leaders to tackle issues like the spread of disinformation. https://t.co/e5T9rq4JUN",0.0,0
44,2022-04-19 20:48:55+00:00,"Part of the reason it’s hard to bring about change is because we live in a media environment that elevates falsehoods as much as truths, and divides people as much as it brings them together.",0.06117424242424242,1
45,2022-04-19 20:48:54+00:00,"In recent years, we've seen how quickly disinformation spreads, especially on social media. This has created real challenges for our democracy.",0.15,1
46,2022-04-19 18:03:13+00:00,The Asia-Pacific region plays an important role in my own story. It's also home to a generation of young people working to create a better world for us all. I'm looking forward to getting to know our newest cohort of @ObamaFoundation leaders. https://t.co/vllf9HFIub,0.4,1
47,2022-04-17 14:00:30+00:00,"Wishing all who celebrate today a blessed and joyful Easter. After a difficult couple of years, let’s give thanks for all the gifts we enjoy—and the people who make this life special. https://t.co/ZcJdQ4Cn9C",0.019047619047619053,1
48,2022-04-15 21:05:11+00:00,Michelle and I send our warmest wishes to all those gathering tonight for Passover Seder. Chag sameach! https://t.co/rijUg4aLCh,0.0,0
49,2022-04-15 20:30:57+00:00,Mayor Washington meant a lot to Michelle and me—just like he did to so many folks in Chicago. We continue to look to his work as inspiration for the legacy we want to leave behind. https://t.co/fGHzJFzWnt,0.04999999999999999,1
50,2022-04-15 16:06:10+00:00,".@PeteSouza and I have traveled the world together, and he's captured some iconic shots over the years. So we decided to reflect on some of our favorite memories at national parks.

Take a look, and make sure to check out Our Great National Parks on Netflix. https://t.co/VvWm8sJU6m",0.575,1
51,2022-04-15 14:04:52+00:00,"On the 75th anniversary of Jackie Robinson Day, we're reminded of his groundbreaking career and legacy that has paved the way for so many who would follow—including me. https://t.co/U4CHJN2WNG",0.5,1
52,2022-04-15 14:04:50+00:00,"75 years ago, Jackie Robinson competed in his first MLB game—despite facing vicious treatment and threats. Throughout his life, Jackie used his voice to stand up for racial justice and in the process, changed America for the better.",-0.08333333333333333,-1
53,2022-04-14 16:05:33+00:00,"There’s nothing I enjoy more than being with young people. And last week, I had a chance to speak with some of the bright students at Hyde Park Academy taking part in our Futures Series with the @ObamaFoundation.

Here's a look at some of the advice I shared with them: https://t.co/Ct9z6Z8LgU",0.34,1
54,2022-04-13 16:05:10+00:00,"With the release of Our Great National Parks, I thought I'd visit one. I had fun at Great Falls Park with the kids from the @BGCA_Clubs.

I hope you'll spend some time outdoors, too. Join the #WildForAll Challenge with @TheWCS at https://t.co/PTlffHC7gv. https://t.co/TtYY1FAlFZ",0.6333333333333334,1
55,2022-04-13 13:00:28+00:00,"Along with @TheWCS, we’re working to encourage folks to not only experience nature, but also take action to protect our environment and wildlife for generations to come. Go to https://t.co/PTlffHC7gv to learn more.",0.19999999999999998,1
56,2022-04-13 13:00:02+00:00,"Our Great National Parks is out today on @Netflix, and I can't wait for you to watch it. This @HGMedia series takes a look at the legacy of preservation and conservation, as well as the ways we can protect our amazing wildlife and natural landscapes. https://t.co/jlxUrL6MDh",0.5000000000000001,1
57,2022-04-12 21:31:44+00:00,"Disinformation is eroding trust in public institutions and threatening democracies around the world. We're working with our @ObamaFoundation Scholars and leaders to combat these forces, break through barriers, and meet their communities where they are. https://t.co/rQuWvZg1uU",0.0,0
58,2022-04-11 20:45:57+00:00,This is what happens when you have an administration that’s committed to progress. I’m grateful for their work and all the people who have been involved in continuing to make the Affordable Care Act everything it can be.,0.0,0
59,2022-04-11 20:45:57+00:00,"Last week, the Biden-Harris administration announced they'd fix a glitch in the regulations that will lower premiums for nearly 1 million people who need it and allow 200,000 more uninsured Americans to get access to health coverage. https://t.co/0m1Bw84TWv",0.19999999999999998,1
60,2022-04-09 19:00:34+00:00,"Gerda Weissmann Klein was an author, a historian, and an inspiration to so many around the world. As a Holocaust survivor, she shared her story to remind us of the power of hope and the extent of our strength. Michelle and I send our love to her family. https://t.co/B3tFf4Hz3B",0.5,1
61,2022-04-08 15:32:50+00:00,"The students I met yesterday at Hyde Park Academy in Chicago make me hopeful for the future. They’re passionate about making a difference, and I enjoyed hearing their stories and sharing a little advice with them. https://t.co/QAOW7dmxtj",0.065625,1
62,2022-04-07 20:05:05+00:00,"Congratulations to Judge Ketanji Brown Jackson for her appointment to the Supreme Court. This is a great day for America, and a proud moment in our history. https://t.co/q4C9dtKAqb",0.8,1
63,2022-04-07 16:31:37+00:00,No trip to Chicago is complete without a @ChicagoBulls game – and this time I brought along some of the young people who are part of our @MBK_Alliance and @GirlsAlliance. https://t.co/LjZmleio5o,-0.06666666666666668,-1
64,2022-04-07 02:48:16+00:00,"It's going to take all of us to protect our democracy, especially young people. There is no silver bullet, but if we focus on ideas and solutions that will strengthen our democracy, rather than weaken it, we can live up to our ideals and show the world what is possible. https://t.co/6ZU2fYQyJm",0.11212121212121212,1
65,2022-04-07 02:39:33+00:00,"RT @ObamaFoundation: “Our goal at the Foundation is to train the next generation of leaders.”

President @BarackObama reflects on how to em…",0.0,0
66,2022-04-06 21:16:03+00:00,"It was great catching up with our latest class of @UChicago Obama Foundation Scholars. They’ve been working hard to improve their communities, and I’m looking forward to following their journeys. https://t.co/Yr45VNF1CS",0.32166666666666666,1
67,2022-04-06 01:00:30+00:00,"Always great catching up with @POTUS. Thanks for all you’re doing to help even more Americans get access to quality, affordable health care. https://t.co/vDYBIxjIy9",0.5249999999999999,1
68,2022-04-05 17:45:22+00:00,"It’s good to be back at the White House! Tune in as I join the @POTUS and @VP to celebrate the Affordable Care Act and talk about how they're taking action to make it better.

https://t.co/PlAKrFD6cN",0.25999999999999995,1
69,2022-04-05 15:00:23+00:00,"Progress often feels slow, and victories are sometimes incomplete. But the ACA shows that if you believe that we can improve people’s lives, and if you’re willing to work through obstacles and continually improve, you can make America better.",0.09999999999999999,1
70,2022-04-05 15:00:23+00:00,"But the ACA was never perfect, and we always knew we would have to make it better. That’s what @POTUS has done since taking office. Today, he’s going even further – lowering premiums for nearly 1 million people and helping 200,000 more uninsured Americans get access to coverage.",0.12,1
71,2022-04-05 15:00:22+00:00,"The ACA also lowered prescription drug costs for 12 million seniors, and allowed young people to stay on their parents’ plan. And it’s eliminated lifetime limits on benefits that often put people in a jam.",0.1,1
72,2022-04-05 15:00:22+00:00,"Because so many people made sacrifices and some members of Congress took courageous votes, we got the ACA across the finish line. Now, more than 30 million Americans have health coverage, and 135 million Americans with pre-existing conditions can’t be dropped or denied coverage.",0.5,1
73,2022-04-05 15:00:22+00:00,"Passing the ACA was incredibly difficult. People who had coverage were worried about losing it, the media was skeptical, misinformation was flying around, and Republicans showed no interest in working with us. But Joe, Harry Reid, Nancy Pelosi and I were determined.",-0.5,-1
74,2022-04-05 15:00:21+00:00,"The Affordable Care Act is an example of why you run for office – not just to occupy a seat, but to make a difference in people’s lives.

Today I’m joining @POTUS and @VP at the White House to celebrate everything the ACA has achieved, and help make it even better.",0.25,1
75,2022-04-05 03:53:08+00:00,"Congratulations to the @KUHoops team on winning the national championship. This team was fun to watch, and they earned their first title since 2008 (which was a pretty good year).",0.4,1
76,2022-04-04 17:00:14+00:00,"Congratulations to the @GamecockWBB team and coach @DawnStaley for winning the national championship. Coach Staley has built a powerhouse, and it’s great to see all their hard work pay off. https://t.co/fZOOMKRmtC",0.3361111111111111,1
77,2022-04-02 16:00:21+00:00,"I heard Betty Reid Soskin is retiring at 100, and want to congratulate her for more than a decade of service as a National Park Ranger.
 
Betty, I hope you realize just how many people appreciate everything you’ve done—myself included. https://t.co/lElFYwxVMg",0.5,1
78,2022-04-02 00:24:49+00:00,"I'm proud of Titus, Ashton, Thaddeus, Jalen, McKinley and Peter for representing @MBK_Alliance at @MarchMadnessMBB.

These talented young men from Chicago are job shadowing folks putting the weekend together to learn about the magic behind the madness. https://t.co/aJtBHlIj1Z",0.34,1
79,2022-03-24 20:00:48+00:00,"Today @POTUS announced that the U.S. will be welcoming 100,000 refugees fleeing the war in Ukraine.
 
This is the right thing to do.
 
If you're looking for ways to help, join @WelcomeUS and support the refugees who will be arriving here soon: https://t.co/tXJCE3tiCE",0.2857142857142857,1
80,2022-03-23 20:30:46+00:00,"As the first woman to serve as America’s top diplomat, Madeleine Albright was a champion for democratic values. Michelle and I send our thoughts to the Albright family and everyone who knew and served with a truly remarkable woman. https://t.co/8jj3GYZXbB",0.5,1
81,2022-03-23 19:45:16+00:00,"The other day, I called up DonnaMarie, Steve, and Amy to hear how the Affordable Care Act changed their lives and thank them for the work they’re doing with @ProtectOurCare to protect it.

I hope you'll watch and share your own story: https://t.co/DhAQWzxCYq",0.2375,1
82,2022-03-23 17:52:33+00:00,"RT @POTUS: Twelve years ago, I proudly stood beside President @BarackObama as he signed into law the most consequential expansion of health…",0.65,1
83,2022-03-23 16:00:50+00:00,".@POTUS’s American Rescue Plan helped strengthen the Affordable Care Act by lowering costs and encouraging a record 14.5 million people to sign up for coverage in 2022. 

We'll keep working to improve the ACA until every American has access to quality, affordable health coverage.",0.0,0
84,2022-03-23 16:00:50+00:00,"During the pandemic, the Affordable Care Act helped make vaccines and COVID-19 tests available for free, covered emergency hospitalizations, and prevented insurance companies from denying anyone coverage based on a pre-existing condition.",0.4,1
85,2022-03-23 16:00:49+00:00,"12 years ago today, I signed the Affordable Care Act into law. I’ve always believed that health care shouldn’t be a privilege for just a fortunate few, but a right for every American. 

Today, more than 30 million Americans have health coverage thanks to the Affordable Care Act. https://t.co/DmjgC00LpP",0.1976190476190476,1
86,2022-03-16 20:00:27+00:00,"It’s been a great year for college basketball, and now #MarchMadness is officially back. I’m excited for some of the young men in our @MBK_Alliance to join the action in New Orleans. Here's a look at my picks: https://t.co/LV9do4BSWB",0.25189393939393945,1
87,2022-03-16 19:30:36+00:00,"And third, a reminder that in the face of brutal repression, there are ordinary Russians that are showing tremendous courage in standing up to a senseless, destructive war. https://t.co/xh1Z10vo6V",-0.2783333333333333,-1
88,2022-03-16 19:30:36+00:00,"Second, a useful primer on why no-fly zones don’t offer a simple answer to stopping the bloodshed. https://t.co/q7VnpgLw9X",0.09999999999999999,1
89,2022-03-16 19:30:35+00:00,"As we bear witness to the tragedy unfolding in Ukraine, here are three articles worth reading. First, a description of the scale of the Ukrainian refugee crisis, underscoring the need for all of us to support relief efforts. https://t.co/uwuz2VqpC7",0.275,1
90,2022-03-13 19:35:04+00:00,"I just tested positive for COVID. I’ve had a scratchy throat for a couple days, but am feeling fine otherwise. Michelle and I are grateful to be vaccinated and boosted, and she has tested negative. 

It’s a reminder to get vaccinated if you haven’t already, even as cases go down.",0.04709595959595959,1
91,2022-03-10 23:17:38+00:00,The @ObamaFoundation has compiled more stories of people who are going above and beyond to help those in need. I hope you’ll read some of them and find ways to get involved: https://t.co/TYAmrwCIUf,0.25,1
92,2022-03-10 23:17:37+00:00,".@Airbnb is offering free, short-term housing for 100,000 refugees fleeing Ukraine. https://t.co/iBLlGM8Pgj",0.4,1
93,2022-03-10 23:17:37+00:00,".@ChefJoseAndres’ nonprofit organization, @WCKitchen, has set up mobile kitchens along the Ukrainian border and near transit hubs to provide meals for refugees. https://t.co/erbKXF0Eu9",0.1,1
94,2022-03-10 23:17:36+00:00,"Drawing on her own story as a refugee, 2018 Obama Fellow @ZarlashtH started the Refugee Trauma Initiative to care for displaced refugees in Greece. Now, @RefugeeTraumaUK is providing lifesaving support to Ukrainians who need help. https://t.co/CRI9tsONOn",0.6,1
95,2022-03-10 23:17:36+00:00,"Over the last few weeks, we’ve seen people, organizations, and companies around the world stepping up to support the people of Ukraine. Here are some examples I’ve been tracking:",-0.1,-1
96,2022-03-03 22:00:39+00:00,"The Ukrainian people need our help. If you’re looking for a way to make a difference, here are some organizations doing important work. 
https://t.co/J0kn9emrIH",0.4,1
97,2022-02-28 17:01:07+00:00,"Richard Hunt is one of the greatest artists Chicago has ever produced, and I couldn’t be prouder that his “Book Bird” sculpture will live outside of the newest @ChiPubLib branch at the Obama Presidential Center. I hope it inspires visitors for years to come. https://t.co/dMfkwvls9P",0.25909090909090904,1
98,2022-02-26 14:00:05+00:00,"It’s hard to believe it's been 10 years since Trayvon Martin was killed. Leading up to this anniversary, I reflected on what his death meant to me as president, as a Black parent, and as a Black man—as well as what it meant for our country. https://t.co/Ywt22dOGup",-0.20625,-1
99,2022-02-25 16:14:51+00:00,"Like Justice Breyer, Judge Jackson understands that the law isn’t just about abstract theory. It’s about people’s lives. @POTUS Biden has made an excellent choice, and I look forward to seeing Judge Jackson confirmed.",0.7,1
