,Unnamed: 0,Time,Username,Tweet,Polarity,Tweet_Tune,clean_tweet
10,10,2022-05-26 20:55:12+00:00,Klreagan73,"@AndrewDesiderio The only follow up question that's needed is ""
.. And why the fuck isn't he? "".  This GOP doesnt give a shit about anyone who is truly concerned by our gun crisis.",-0.2,-1, The only follow up question that s needed is      And why the fuck isn t he      This GOP doesnt give a shit about anyone who is truly concerned by our gun crisis 
11,11,2022-05-26 20:55:12+00:00,HastyRaquel,@nathaliejacoby1 Oh and the stupid destructive gun laws!,-0.7749999999999999,-1, Oh and the stupid destructive gun laws 
12,12,2022-05-26 20:55:12+00:00,Pat_johnston,"@JimLovesLemons Hi @JimLovesLemons Ted Cruz is totally unhinged as are many republicans over gun laws. The right to bear arms supersedes everything including the rights of the child to be safe in school. 
Arm teachers, import guards, keep schools in permanent lock down but don’t touch our guns.",0.2260317460317459,1, Hi  Ted Cruz is totally unhinged as are many republicans over gun laws  The right to bear arms supersedes everything including the rights of the child to be safe in school   Arm teachers  import guards  keep schools in permanent lock down but don t touch our guns 
13,13,2022-05-26 20:55:11+00:00,Wolf_Overland5,@jamesab89390590 @wis10 Yes! 94% of mass shootings happen in gun free zones. Only thing that stops a person with a gun is another gun.,0.2,1,  Yes      of mass shootings happen in gun free zones  Only thing that stops a person with a gun is another gun 
14,14,2022-05-26 20:55:11+00:00,Danni777SD,"@KarenT570 @ej11lizzie Not to mention, at least in my experience, teachers are there to teach kids, they're nice loving caring people, not gun totting psychos",0.3,1,  Not to mention  at least in my experience  teachers are there to teach kids  they re nice loving caring people  not gun totting psychos
15,15,2022-05-26 20:55:11+00:00,ang3ldust_93,@OGGaygsta @BAnimosus @MKUltraMoney Your main concern was gun laws yet you make redundant comparisons of other first world countries while ignoring other factors at play like the aforementioned ones in my previous tweet. It all has to do with how the government treats it people.,-0.0285714285714285,-1,   Your main concern was gun laws yet you make redundant comparisons of other first world countries while ignoring other factors at play like the aforementioned ones in my previous tweet  It all has to do with how the government treats it people 
16,16,2022-05-26 20:55:11+00:00,7nyix,"Top Gun , tom cruise 🤍 https://t.co/lcUUnQDMIm",0.5,1,Top Gun   tom cruise      t co lcUUnQDMIm
17,17,2022-05-26 20:55:11+00:00,steveh7212,@Zmerzette @AOC Wrong again!  Get informed about Republican refusal to pass gun control laws and the number of murders over the same time period that occured because there were no gun control laws!,-0.3125,-1,  Wrong again   Get informed about Republican refusal to pass gun control laws and the number of murders over the same time period that occured because there were no gun control laws 
18,18,2022-05-26 20:55:11+00:00,JustBoo4,@shaunalex87 And you wonder why we have a gun problem.,0.0,0, And you wonder why we have a gun problem 
19,19,2022-05-26 20:55:10+00:00,Giants55,"""Responsible gun owner"" https://t.co/hKXoDEcEA3",0.2,1, Responsible gun owner     t co hKXoDEcEA 
20,20,2022-05-26 20:55:10+00:00,kellielynnweeks,@PatPanActivist I know gun owners. I own hundreds of guns. It's not the guns.,0.6,1, I know gun owners  I own hundreds of guns  It s not the guns 
21,21,2022-05-26 20:55:10+00:00,samakabforhouse,"We need IMMEDIATE congressional action on gun safety. The states’ hands are tied by lack of federal action and those in Congress beholden to the gun lobby. We need a new, comprehensive, forward-looking assault weapons ban. INACTION IS NOT AN OPTION. #BanAssultRifles",0.1121212121212121,1,We need IMMEDIATE congressional action on gun safety  The states  hands are tied by lack of federal action and those in Congress beholden to the gun lobby  We need a new  comprehensive  forward looking assault weapons ban  INACTION IS NOT AN OPTION  #BanAssultRifles
22,22,2022-05-26 20:55:09+00:00,OnRecliner,"Nevermnd the gun control debate. What is different about our society today, as opposed to decades ago, in which kids are committing these kind of atrocities at schools? Whats different about this world? Whats different about our country?",0.15,1,Nevermnd the gun control debate  What is different about our society today  as opposed to decades ago  in which kids are committing these kind of atrocities at schools  Whats different about this world  Whats different about our country 
23,23,2022-05-26 20:55:09+00:00,cathemorrhoid,"@FreddyMacWins @chicagojimmy @momma_jem @EmilyandtheG @country_ca @NoLieWithBTC if your argument is that the government is so bought out by the gun industry that they refuse to take the steps to change it, then you've hit the mark. but that isn't an amendment issue or a gun issue it's our political structure.",0.0,0,      if your argument is that the government is so bought out by the gun industry that they refuse to take the steps to change it  then you ve hit the mark  but that isn t an amendment issue or a gun issue it s our political structure 
24,24,2022-05-26 20:55:09+00:00,William_E_Wolfe,"We pastors and Christian ethicists who are more animated about trying to take away our good right of gun ownership...

Than they are about taking away the fake, evil “right” of abortion in this nation.

Pharisees. Hypocrites. Blind guides.",-0.0285714285714285,-1,We pastors and Christian ethicists who are more animated about trying to take away our good right of gun ownership     Than they are about taking away the fake  evil  right  of abortion in this nation   Pharisees  Hypocrites  Blind guides 
25,25,2022-05-26 20:55:09+00:00,TwicksRitter,@RightCoastCool @litttlesnappy Far too many American gun owners who have Rambo complexes and can’t wait to use their gun to kill someone and far too few American gun owners who respect it as a tool and hope they never have to use it.,0.0833333333333333,1,  Far too many American gun owners who have Rambo complexes and can t wait to use their gun to kill someone and far too few American gun owners who respect it as a tool and hope they never have to use it 
26,26,2022-05-26 20:55:09+00:00,LowellTmas,"@johnatusc @Thisisawkward4u @wineweathrmusic @davidaxelrod I'm sure you're aware that different states have different gun laws? So which state (s) are you asking about laws that don't work, and which laws are they?",0.1875,1,    I m sure you re aware that different states have different gun laws  So which state  s  are you asking about laws that don t work  and which laws are they 
27,27,2022-05-26 20:55:09+00:00,TheRecGolfer,"@jimmykimmel -- Republican politicians are saying exactly this: ""The cost to me of not getting re-elected because I voted to approve effective gun control legislation is greater than the cost to you of your loved ones being murdered by random gun violence.""",0.3099999999999999,1,    Republican politicians are saying exactly this   The cost to me of not getting re elected because I voted to approve effective gun control legislation is greater than the cost to you of your loved ones being murdered by random gun violence  
28,28,2022-05-26 20:55:09+00:00,vicory_w,"@MittRomney Give the NRA money back. That would be a start. Then vote for common sense, wildly popular gun reforms, like background checks, assault weapon ban, etc. And for once in your life, at least pretend that you care about human beings other than your donors and rich friends.",0.0357142857142857,1, Give the NRA money back  That would be a start  Then vote for common sense  wildly popular gun reforms  like background checks  assault weapon ban  etc  And for once in your life  at least pretend that you care about human beings other than your donors and rich friends 
29,29,2022-05-26 20:55:09+00:00,HaroldKilgour,@MikeBellATL What you said and stronger gun control. Too many people sane and idiots have access to guns and weapons of war. We have to do something!!!,-0.25,-1, What you said and stronger gun control  Too many people sane and idiots have access to guns and weapons of war  We have to do something   
30,30,2022-05-26 20:55:09+00:00,ashiibun,@bunnyhuhval no way u want the squirt gun,0.0,0, no way u want the squirt gun
31,31,2022-05-26 20:55:09+00:00,UdnSpeak4me,#BlameRepublicans Newsmax Hosts Gun Lobbyist Who Blames Uvalde Shooting on Gun Control https://t.co/MBLGEOKhae,0.0,0,#BlameRepublicans Newsmax Hosts Gun Lobbyist Who Blames Uvalde Shooting on Gun Control    t co MBLGEOKhae
32,32,2022-05-26 20:55:09+00:00,sideshowbob0569,"@amar3455 I wish we could see the actual footage of the gun purchase. By law there is a back ground check. And finger printing in most states. Some states being that young you have to have a hunting license. Theres a lot of missing points here, some could say this is propaganda.",0.0499999999999999,1, I wish we could see the actual footage of the gun purchase  By law there is a back ground check  And finger printing in most states  Some states being that young you have to have a hunting license  Theres a lot of missing points here  some could say this is propaganda 
33,33,2022-05-26 20:55:09+00:00,chippolito,@PsyKellygy @WakeUp2Politics @maggieNYT @PressSec @shearm A preschool near me requires that I look into a camera and state my reason for being there to their satisfaction before they grant me entry. It's not hard or expensive. It doesn't require legislation. It doesn't rely on current gun laws,-0.0635416666666666,-1,     A preschool near me requires that I look into a camera and state my reason for being there to their satisfaction before they grant me entry  It s not hard or expensive  It doesn t require legislation  It doesn t rely on current gun laws
34,34,2022-05-26 20:55:09+00:00,gnuman1979,@BobInBoulder Crying about the Heat asking people to call their Congress people about doing something about gun violence.,-0.2,-1, Crying about the Heat asking people to call their Congress people about doing something about gun violence 
35,35,2022-05-26 20:55:08+00:00,mhp_1776,"@AymanM @DanPatrick is full of crap. He’ll stand by and watch every child get killed by guns before he lifts a finger to implement gun reform.

To @GOP guns will always take precedent over humans including babies and children.",-0.2166666666666667,-1,  is full of crap  He ll stand by and watch every child get killed by guns before he lifts a finger to implement gun reform   To  guns will always take precedent over humans including babies and children 
36,36,2022-05-26 20:55:08+00:00,notabadkyle,"@txgal_in_ga @SpectralSamurai @newsmax Yeah so let’s approach everyday Americans on Twitter who want gun rights AND safe schools, like they’re taking donations from the NRA…",0.15,1,   Yeah so let s approach everyday Americans on Twitter who want gun rights AND safe schools  like they re taking donations from the NRA 
37,37,2022-05-26 20:55:08+00:00,sportyoatlanta,@borgposting How is canceling him? The post simply stated the parent’s opinion about Rittenhouse and gun laws…pls explain,0.0,0, How is canceling him  The post simply stated the parent s opinion about Rittenhouse and gun laws pls explain
38,38,2022-05-26 20:55:08+00:00,SciRocker,"@SRuhle ""You must sacrifice your children to fire and trauma so the gun companies can get richer.""",0.0,0,  You must sacrifice your children to fire and trauma so the gun companies can get richer  
39,39,2022-05-26 20:55:08+00:00,Ghostess_Leanne,"@KyleParanormal @SpookEats I just don't know what can be done, too many people are in the pockets of gun companies. Guns are deep in the veins of America. I wouldn't want to send my child to school there, I have a 6 year old and it doesn't even bare thinking about. Those poor babies 😢",0.05,1,  I just don t know what can be done  too many people are in the pockets of gun companies  Guns are deep in the veins of America  I wouldn t want to send my child to school there  I have a   year old and it doesn t even bare thinking about  Those poor babies  
40,40,2022-05-26 20:55:08+00:00,divinemsmolly,"Call me crazy, but wouldn’t a mental health crisis in this country be even MORE of a reason for gun control??? Anyone aiming to hurt themselves or other people, is gonna do a lot less damage with a knife than they would with an AR-15 🤨",-0.0983333333333333,-1,Call me crazy  but wouldn t a mental health crisis in this country be even MORE of a reason for gun control    Anyone aiming to hurt themselves or other people  is gonna do a lot less damage with a knife than they would with an AR     
41,41,2022-05-26 20:55:08+00:00,Prafull25568819,"@POTUS 1. Gun Law
Before that put 2 security, police or guard anything to each and every school entrance all the time 🙏🏻",0.0,0,    Gun Law Before that put   security  police or guard anything to each and every school entrance all the time   
42,42,2022-05-26 20:55:08+00:00,kitkatceo,"@JoeBiden My choice to purchase &amp; carry a gun hasn't a God damn thing to do with the gun lobby.  I saw the weakening of our criminal justice system, the decline our of health care systems, &amp; rising poverty levels (the root cause of most crime).  That's why I carry a gun.",0.0499999999999999,1, My choice to purchase  amp  carry a gun hasn t a God damn thing to do with the gun lobby   I saw the weakening of our criminal justice system  the decline our of health care systems   amp  rising poverty levels  the root cause of most crime    That s why I carry a gun 
43,43,2022-05-26 20:55:07+00:00,Rascalisfine,@tedcruz Why does your state have some of the most lax gun laws in the country. Your prayer means nothing. Actually less than nothing. You are a completely despicable coattail rider,0.1444444444444444,1, Why does your state have some of the most lax gun laws in the country  Your prayer means nothing  Actually less than nothing  You are a completely despicable coattail rider
44,44,2022-05-26 20:55:07+00:00,seafretlbot,"Love is more like a loaded gun
Than a safety net to fall back on",0.25,1,Love is more like a loaded gun Than a safety net to fall back on
45,45,2022-05-26 20:55:07+00:00,BavoduKettch,"@NickAlternative Australia had a mass shooting back in the 90's, 36 people died. The government immediately did a gun buy back, and made it much harder to get a gun, not impossible just really hard. Haven't had a mass shooting since. It only took 1 mass shooting to effect change.",-0.0097222222222222,-1, Australia had a mass shooting back in the    s     people died  The government immediately did a gun buy back  and made it much harder to get a gun  not impossible just really hard  Haven t had a mass shooting since  It only took   mass shooting to effect change 
46,46,2022-05-26 20:55:07+00:00,deanandersonnyc,"@SoCal_62 @MitchellCarsie @sandyhook We didn’t have these problems before gun control in 1967. We had assault weapons since WWI, and AR-15‘s since 1957.   First mass shooting of children was 1982. If gun control worked, 1966 would be the most dangerous year and things would be getting better. Instead, they’re worse.",0.05,1,   We didn t have these problems before gun control in       We had assault weapons since WWI  and AR    s since         First mass shooting of children was       If gun control worked       would be the most dangerous year and things would be getting better  Instead  they re worse 
47,47,2022-05-26 20:55:07+00:00,water_is_wet,@plantbboi if adderall is harder to get than a gun you’ve got bad friends🫣 https://t.co/ZXznZIsyNC,-0.3999999999999999,-1, if adderall is harder to get than a gun you ve got bad friends     t co ZXznZIsyNC
48,48,2022-05-26 20:55:07+00:00,howingtonj,"@RBReich Gun control, all day, every day",0.0,0, Gun control  all day  every day
49,49,2022-05-26 20:55:07+00:00,chefsteban,"@WallyBigWall @MeidasTouch They’re not hiding anything, they’re blatantly saying I’d rather fix this with a gun… they’re not too keen on words",-0.5,-1,  They re not hiding anything  they re blatantly saying I d rather fix this with a gun  they re not too keen on words
50,50,2022-05-26 20:55:07+00:00,David_R_Bailey,"@justapokeball @LoganM_Stuart @trump_douchebag @LindaScheerlin1 @JRVanArsdale @kintarasu @tedcruz Well, considering most gun deaths are accidents, it's not surprising that states with more guns would have more deaths.",0.2875,1,       Well  considering most gun deaths are accidents  it s not surprising that states with more guns would have more deaths 
51,51,2022-05-26 20:55:07+00:00,warrenyates15,@POTUS Yeah Bozo! Come to Texas and try to score political points on gun control and we will run you out of the state.,0.0,0, Yeah Bozo  Come to Texas and try to score political points on gun control and we will run you out of the state 
52,52,2022-05-26 20:55:06+00:00,precize7,"I hate the statement “secure the schools” or anything promoting more guns because 1. More guns means more “accidents”. Like alright, you’re strapped but you think a strapped person won’t retaliate? Everyone having a gun means that more people will resort to using it.",0.2666666666666666,1,I hate the statement  secure the schools  or anything promoting more guns because    More guns means more  accidents   Like alright  you re strapped but you think a strapped person won t retaliate  Everyone having a gun means that more people will resort to using it 
53,53,2022-05-26 20:55:06+00:00,RossSchumann,"@KyleSchumann08 @RoyMay15 Pretty sure you took an ass whooping over it as well.

But I, like you, bought my first gun before being 18.

I have never shot a single person.

Teaching kids that shooting someone isn’t like a video game would be a good start.",0.2047619047619047,1,  Pretty sure you took an ass whooping over it as well   But I  like you  bought my first gun before being      I have never shot a single person   Teaching kids that shooting someone isn t like a video game would be a good start 
54,54,2022-05-26 20:55:06+00:00,AndrewPerer,"@JakeMartyniuk @smharper80 @pervocracy Wrong! Firing a bullet from an AR-15 is very different than a say a 9mm bullet or even a .45 used by most cops in their hand gun. Very different velocity.  More powerful and more accurate from a rifle. For example, vests can stop 9mm and other pistols but not rifle bullets.",0.1611111111111111,1,   Wrong  Firing a bullet from an AR    is very different than a say a  mm bullet or even a     used by most cops in their hand gun  Very different velocity   More powerful and more accurate from a rifle  For example  vests can stop  mm and other pistols but not rifle bullets 
55,55,2022-05-26 20:55:06+00:00,Barak_Io,@iamAkb232 @outtatime907 @no1magicfan @zademike4 @Nasdorachi @zahirnurazmi @KSI Except you can't just walk into Walmart and buy an automatic weapon. Those are strictly regulated by the ATF. It would honestly be easier getting one off the streets then from a gun store.,0.6,1,       Except you can t just walk into Walmart and buy an automatic weapon  Those are strictly regulated by the ATF  It would honestly be easier getting one off the streets then from a gun store 
56,56,2022-05-26 20:55:06+00:00,NNomvo,"@SkyNews @Stone_SkyNews Because they don't have gun control, sell guns over the counter,sells guns of high calibre to young people and have no background checks or verications, not mentioning an organisation for guns called RNA, where in the world would you find an organisation specifically for guns🤷",0.13,1,  Because they don t have gun control  sell guns over the counter sells guns of high calibre to young people and have no background checks or verications  not mentioning an organisation for guns called RNA  where in the world would you find an organisation specifically for guns 
57,57,2022-05-26 20:55:06+00:00,BlazeLytYear,"@JRsBBQ gun free zones are creating targets for these individuals! We need teachers and staff of all public and private facilities to conceal carry if they legally can, so we can prevent these events and not step on peoples constitutional right.",0.1971428571428571,1, gun free zones are creating targets for these individuals  We need teachers and staff of all public and private facilities to conceal carry if they legally can  so we can prevent these events and not step on peoples constitutional right 
58,58,2022-05-26 20:55:06+00:00,contest_joiner,"@TravisAllen02 If You Don’t Support Gun Control, You Support School Shootings.",0.0,0, If You Don t Support Gun Control  You Support School Shootings 
59,59,2022-05-26 20:55:06+00:00,m4thsmith,@OhNoSheTwitnt Fuck fuck fuck fuck do I really have to carry a gun to keep my students safe FUCK,-0.1857142857142857,-1, Fuck fuck fuck fuck do I really have to carry a gun to keep my students safe FUCK
60,60,2022-05-26 20:55:06+00:00,_SocSpecialist_,"Out of surprise (shock?) that it even exists, I tweeted moments ago about a gun purchase financing option w/ a link &amp; realized quickly what a bad idea it is to share that kind of info. I have since deleted that tweet. I think it’s time for a break from Twitter now. Info overload.",0.0777777777777778,1,Out of surprise  shock   that it even exists  I tweeted moments ago about a gun purchase financing option w  a link  amp  realized quickly what a bad idea it is to share that kind of info  I have since deleted that tweet  I think it s time for a break from Twitter now  Info overload 
61,61,2022-05-26 20:55:06+00:00,Smackeygames,"@maximoose58 @HillaryClinton All leaders are trying to divide the world, red and blue.  If we are busy arguing with each other, we wont focus on the real problems of the world.  However, common sense needs to prevail here.  A person commits a crime, not because of the gun, but because of their decision.",-0.0208333333333333,-1,  All leaders are trying to divide the world  red and blue   If we are busy arguing with each other  we wont focus on the real problems of the world   However  common sense needs to prevail here   A person commits a crime  not because of the gun  but because of their decision 
62,62,2022-05-26 20:55:05+00:00,alexneutronstar,@esaagar If a parent had tried to enter with his own gun to defend this kids the police would have shot him instead of the psycho inside the school!!! SMH!!! This is unbelievable!,0.34375,1, If a parent had tried to enter with his own gun to defend this kids the police would have shot him instead of the psycho inside the school    SMH    This is unbelievable 
63,63,2022-05-26 20:55:05+00:00,realwrldchanger,"America has a HUGE problem, and that is gun violence! For decades it has plagued this country. Gun violence IS a PUBLIC HEALTH CONCERN, and more people should be alarmed. Elected leaders should be alarmed!",0.375,1,America has a HUGE problem  and that is gun violence  For decades it has plagued this country  Gun violence IS a PUBLIC HEALTH CONCERN  and more people should be alarmed  Elected leaders should be alarmed 
64,64,2022-05-26 20:55:05+00:00,littledoll77,I live in a dangerous part of a dangerous city. I’ve never thought to buy a gun for any reason. Why don’t others feel the same?,-0.2659090909090909,-1,I live in a dangerous part of a dangerous city  I ve never thought to buy a gun for any reason  Why don t others feel the same 
65,65,2022-05-26 20:55:05+00:00,PreciousShange,"Gun violence is rife.
Governments need to have stricter restrictions. 
And prohibit people from owning a gun/weapon without getting a psychiatric evaluation.",0.0,0,Gun violence is rife  Governments need to have stricter restrictions   And prohibit people from owning a gun weapon without getting a psychiatric evaluation 
66,66,2022-05-26 20:55:05+00:00,jmuhj1,"Shopping while Black. Getting an education while Brown. Any correlation? Nah, probably not. But to those enacting and enabling the (lack of) gun safety laws, I'm just sayin'",-0.1666666666666666,-1,Shopping while Black  Getting an education while Brown  Any correlation  Nah  probably not  But to those enacting and enabling the  lack of  gun safety laws  I m just sayin 
67,67,2022-05-26 20:55:05+00:00,PersistentWoman,"Hey @SenThomTillis the gun lobby has spent $4,421,333  in support of you. Represent the voters, not the gun lobby, or come November we will https://t.co/6PUyuPQpGl #VoteYouOut",-0.1,-1,Hey  the gun lobby has spent             in support of you  Represent the voters  not the gun lobby  or come November we will    t co  PUyuPQpGl #VoteYouOut
68,68,2022-05-26 20:55:05+00:00,hallsofeternity,"@peterra40855142 @Tsarcraft @cburke501 @TheOrvedahl which sounds like it would work, but i think you are underestimating the amount of money a gun buyback would truly cost while the DoD and its subsequent contractors would be losing out on billions. and well, it’s about money before public safety for the government unfortunately.",-0.1666666666666666,-1,    which sounds like it would work  but i think you are underestimating the amount of money a gun buyback would truly cost while the DoD and its subsequent contractors would be losing out on billions  and well  it s about money before public safety for the government unfortunately 
69,69,2022-05-26 20:55:04+00:00,SassyMichgnGrl3,"My stepson is sitting in Iraq with a gun in his hand, but that's okay.....as long as it serves your purpose. https://t.co/GrlWSQ2g2Q",-0.05,-1,My stepson is sitting in Iraq with a gun in his hand  but that s okay     as long as it serves your purpose     t co GrlWSQ g Q
70,70,2022-05-26 20:55:04+00:00,lenmac1,@warhawk110 @DavidStacy410 @StevenGrahamTWS @the_kHayes @CBCNews Stolen?  From legal gun owners?,0.2,1,     Stolen   From legal gun owners 
71,71,2022-05-26 20:55:04+00:00,StrandedGrahams,"What’s so fucked up is America can control what women do with their vagina’s. Force them to have the children they (can’t) have, or what ever situation is. But won’t do a fucking thing about gun violence to protect the children.",-0.6,-1,What s so fucked up is America can control what women do with their vagina s  Force them to have the children they  can t  have  or what ever situation is  But won t do a fucking thing about gun violence to protect the children 
72,72,2022-05-26 20:55:04+00:00,LauraRo69678148,@davidhogg111 Can we raise the legal age to own a gun to 21? Require those who want to purchase a gun be required to be course certified for the type of gun they want to purchase? Require gun owners to have proper storage and insurance for their guns? The point is safety right?,0.2714285714285714,1, Can we raise the legal age to own a gun to     Require those who want to purchase a gun be required to be course certified for the type of gun they want to purchase  Require gun owners to have proper storage and insurance for their guns  The point is safety right 
73,73,2022-05-26 20:55:04+00:00,LiveByPride,"@DrakeSadron @Dragoneer @Variety Gun control isn't the only solution. We literally just discussed that. Are you already lost? So again, assuming their base wants kids to stopped being gunned down in school, they haven't made any changes. But maybe that's not their goal as you said.",-0.1888888888888889,-1,   Gun control isn t the only solution  We literally just discussed that  Are you already lost  So again  assuming their base wants kids to stopped being gunned down in school  they haven t made any changes  But maybe that s not their goal as you said 
74,74,2022-05-26 20:55:04+00:00,ToxicSprocket,"@POTUS This will be another great opportunity for you to divide the country further with your classless false accusations, spin, deflection, distraction, race-baiting and calls for new gun laws no one want and which would not and will not stop school shootings. Have fun!",0.1822727272727272,1, This will be another great opportunity for you to divide the country further with your classless false accusations  spin  deflection  distraction  race baiting and calls for new gun laws no one want and which would not and will not stop school shootings  Have fun 
75,75,2022-05-26 20:55:03+00:00,PhillyF01934538,"@DZBillFulton 1. Universal background checks.

2. Mandatory liability insurance for gun owners.

3. Mandatory training prior to gun purchase.

4. Must be at least 21 to buy a gun.

5. Statutory waiting period.",-0.0999999999999999,-1,    Universal background checks      Mandatory liability insurance for gun owners      Mandatory training prior to gun purchase      Must be at least    to buy a gun      Statutory waiting period 
76,76,2022-05-26 20:55:03+00:00,stbythec,We also have several thousand gun laws on the books. Let’s start enforcing them. Hunter Biden should be prosecuted for violating at least 2 of them. https://t.co/5UznpQ2FL1,-0.15,-1,We also have several thousand gun laws on the books  Let s start enforcing them  Hunter Biden should be prosecuted for violating at least   of them     t co  UznpQ FL 
77,77,2022-05-26 20:55:03+00:00,GiveMe5Minute,@ClayTravis We can ban assault rifles. There’s no need for the public to have these types of guns! There is no animal that you can’t use another gun to kill. These are made for #War! @ClayTravis what’s so hard about banning assault rifles. #USA #TexasSchoolMassacre,-0.1458333333333333,-1, We can ban assault rifles  There s no need for the public to have these types of guns  There is no animal that you can t use another gun to kill  These are made for #War   what s so hard about banning assault rifles  #USA #TexasSchoolMassacre
78,78,2022-05-26 20:55:03+00:00,2emc,"Hey @SenTedCruz the gun lobby has spent $176,274  in support of you. Represent the voters, not the gun lobby, or come November we will https://t.co/NqUykDat4W #VoteYouOut",-0.1,-1,Hey  the gun lobby has spent           in support of you  Represent the voters  not the gun lobby  or come November we will    t co NqUykDat W #VoteYouOut
79,79,2022-05-26 20:55:03+00:00,CarolynDoyen,@StephenKing We do not need gun control we need help for mental illness. Change the law so that the mentally I’ll can receive in house treatment with weekly follow ups that is what is needed. These people are crying for help with no results.,-0.1333333333333333,-1, We do not need gun control we need help for mental illness  Change the law so that the mentally I ll can receive in house treatment with weekly follow ups that is what is needed  These people are crying for help with no results 
80,80,2022-05-26 20:55:02+00:00,Littlest79,"@neeliadunoon Oh no! What an absolute tragedy. It’s beyond comprehension but it is a choice. They are choosing gun rights over lives. Ironic, given the current stance on abortion.",0.1333333333333333,1, Oh no  What an absolute tragedy  It s beyond comprehension but it is a choice  They are choosing gun rights over lives  Ironic  given the current stance on abortion 
